,ID_SIR_TMJ,X_DEPART,X_FIN,Y_DEPART,Y_FIN,Z_DEPART,Z_FIN,AXE,CUMULD,CUMULF,PLOD,ABSD,PLOF,ABSF,TYPE_CPT,SENS,LIBELLE,LOCALISATI,COMMUNE,CODEINSEE,CATEGORIE,ROUTE,PLOC,ABSC,CUMULC,LATITUDE,LONGITUDE,DERNANCPT,ANNEE_N,MJATVTCJN,MJAPLTCJN,MJAPPLTCJN,COTE,EMPLACEMEN,VOIE,DISTANCE
162,677,309173.3217,312057.7427,6791777.5267,6795246.9566,0.0,0.0,D166,0,4660,0,0,4,592,Permanent,3,Dép. 56 - D773,D166 GAEL,GAEL,35117,B,35 D166,0,1,0,48.1094691,-2.2549987,2021,2021,3995,600,15.01,,,0,
163,678,312057.7427,313797.8506,6795246.9566,6799249.1527,0.0,0.0,D166,4660,9144,4,592,9,136,Temporaire,3,D773 - N2164 D125,ST MEEN LE GRAND,SAINT-MEEN-LE-GRAND,35297,B,35 D166,8,0,0,48.1711547,-2.2077479,2021,2021,6072,710,11.69,,,0,
164,680,316034.5598,316034.2989,6800305.2503,6804958.6432,0.0,0.0,D166,12126,16946,10,2048,15,742,Permanent,3,D3166 - D220,D166_LE_CROUAIS,LE CROUAIS,35091,B,35 D166,12,945,0,48.207159,-2.1751766,2021,2021,4973,715,14.38,,,0,
165,845,334465.0517,338605.9989,6851318.6533,6852929.6891,0.0,0.0,D355,0,4889,0,0,4,1011,Permanent,3,St Malo - Cancale,D355.VILLE.BESNARD,SAINT-MALO,35288,D,35 D355,0,300,0,48.6592481,-1.9651978,2021,2021,8890,354,3.98,,,0,
166,682,322704.2642,326578.0456,6844099.9996,6846521.1099,0.0,0.0,D168,0,4764,0,0,4,709,Temporaire,3,Dép.22 - D603,SAINT LUNAIRE,PLEURTUIT,35228,B,35 D168,3,300,0,48.6021354,-2.0820952,2021,2021,11122,297,2.67,,,0,
167,686,329560.2044,331022.4058,6847008.2796,6846844.9196,0.0,0.0,D168,7973,9894,7,880,9,799,Permanent,3,Dinard - St Malo,D168 LA COUDRAY,SAINT-MALO,35288,A,35 D168,9,553,9648,48.61486,-2.01138,2021,2021,31772,1506,4.74,,,0,
168,335,337570.9478,338723.604,6783127.3306,6778438.4802,0.0,0.0,D62,31650,37438,31,438,37,123,Temporaire,3,D36 - D44,BREAL SOUS MONTFORT,BREAL-SOUS-MONTFORT,35037,B,35 D62,35,0,0,48.0233013,-1.8590812,2021,2021,1832,51,2.8,,,0,
169,333,334143.2839,336945.1358,6789718.153,6784658.1605,0.0,0.0,D62,23800,29988,23,995,29,669,Temporaire,3,D35 - N24,BREAL SOUS MONTFORT,BREAL-SOUS-MONTFORT,35037,B,35 D62,29,0,0,48.06542,-1.8836288,2021,2021,7269,322,4.43,,,0,
170,921,348016.6813,340653.4586,6759740.5581,6758018.942,0.0,0.0,D772,15472,23243,15,740,23,741,Temporaire,3,D777 - D51,BAIN DE BRETAGNE,BAIN-DE-BRETAGNE,35012,B,35 D772,16,500,0,47.8417752,-1.7153754,2021,2021,5839,443,7.59,,,0,
171,387,332633.8718,332800.1221,6810470.7534,6805913.6975,0.0,0.0,D70,5349,10003,5,366,10,98,Temporaire,3,D20 - D21 D221,IRODOUER,IRODOUER,35135,B,35 D70,8,500,0,48.2641223,-1.9531267,2021,2021,3361,161,4.78,,,0,
172,915,391121.7855,391221.3933,6812896.8136,6815689.065,0.0,0.0,D706,1270,4127,2,0,4,880,Temporaire,3,N12 - D17,Rocade Est de Fougères,FOUGERES,35115,B,35 D706,3,0,0,48.3509563,-1.1724989,2021,2021,5448,404,7.41,,,0,
173,914,386980.178,386788.051,6815383.7373,6814139.4145,0.0,0.0,D706,0,1270,0,0,1,282,Temporaire,3,D155 - N12,LECOUSSE (rocade Fougères),LECOUSSE,35150,B,35 D706,0,200,0,48.3613502,-1.2282844,2021,2021,10933,954,8.73,,,0,
174,928,313326.0516,314767.1852,6788380.4512,6781607.3262,0.0,0.0,D773,7710,11903,6,477,13,667,Temporaire,3,D2 D31 - D38,PAIMPONT,PAIMPONT,35211,C,35 D773,11,414,0,48.0432085,-2.1838857,2021,2021,1979,109,5.5,,,0,
175,931,318363.0809,317142.0196,6739924.0617,6738336.1067,0.0,0.0,D775,0,1512,0,0,2,275,Permanent,3,D164 - Dép. 56,D775 REDON,REDON,35236,B,35 D775,2,275,0,47.6339137,-2.1019196,2021,2021,8613,0,0.0,,,0,
176,936,331189.7253,327363.5112,6770269.7301,6768300.944,0.0,0.0,D776,15392,19990,16,60,20,925,Temporaire,3,D42 - D65,MAURE DE BRETAGNE,MAURE-DE-BRETAGNE,35168,B,35 D776,18,500,0,47.9199156,-1.9671167,2021,2021,4003,165,4.12,,,0,
177,395,333157.3077,334372.3474,6801265.661,6797777.7486,0.0,0.0,D72,4600,8761,4,583,7,1234,Temporaire,3,D28 - D68,Barreau de PLEUMELEUC,PLEUMELEUC,35227,B,35 D72,6,1000,0,48.1866214,-1.9404349,2021,2021,4860,276,5.68,,,0,
178,400,343212.0301,347884.3788,6828401.9083,6823214.0848,0.0,0.0,D73,9545,16584,9,980,16,939,Temporaire,3,D10 D78 - D795,COMBOURG,COMBOURG,35085,C,35 D73,15,0,0,48.426256,-1.779202,2021,2021,3164,111,3.51,,,0,
179,943,372276.0818,369792.1196,6778294.4734,6776924.9665,0.0,0.0,D777,30977,33828,30,586,33,432,Temporaire,3,D463 - D32,PIRE SUR SEICHE,PIRE-SUR-SEICHE,35220,B,35 D777,32,550,0,48.0131635,-1.4204297,2021,2021,3856,430,11.14,,,0,
180,361,320382.7587,318555.2452,6742930.7411,6739838.5552,0.0,0.0,D67,25740,29412,24,1817,27,653,Temporaire,3,D177 - D164,REDON,REDON,35236,B,35 D67,26,0,0,47.6588508,-2.0718953,2021,2021,7186,159,2.21,,,0,
181,935,336964.6875,331190.6073,6774244.8096,6770280.0657,0.0,0.0,D776,8093,15392,8,618,16,60,Temporaire,3,D62 - D42,GUIGNEN,GUIGNEN,35127,B,35 D776,11,0,0,47.9570514,-1.8914298,2021,2021,4309,159,3.68,,,0,
182,934,341065.1516,336964.6875,6776563.546,6774244.8096,0.0,0.0,D776,3217,8093,3,527,8,618,Temporaire,3,D177 - D62,LASSY,LASSY,35149,B,35 D776,8,290,0,47.9688406,-1.8598964,2021,2021,4901,179,3.65,,,0,
183,944,369792.1196,365277.3297,6776924.9665,6772537.5373,0.0,0.0,D777,33828,40411,33,432,39,947,Temporaire,3,D32 - D2777,AMANLIS,AMANLIS,35002,B,35 D777,38,0,0,47.9835849,-1.4713036,2021,2021,4680,408,8.71,,,0,
184,946,363586.4405,360436.128,6770848.0734,6768480.44,0.0,0.0,D777,43332,47301,42,300,46,339,Temporaire,3,D411 - D163,BRIE,BRIE,35041,B,35 D777,45,500,0,47.9339732,-1.5405753,2021,2021,4287,492,11.47,,,0,
185,362,332890.8345,334000.1584,6813585.4719,6811450.2478,0.0,0.0,D68,0,2501,0,0,2,469,Temporaire,3,Dép. 22 - D27,LONGAULNAY,LONGAULNAY,35156,C,35 D68,1,150,0,48.3094337,-1.9491253,2021,2021,2365,149,6.28,,,0,
186,326,322617.0347,320857.4236,6783853.4791,6779534.5284,0.0,0.0,D61,24873,29556,25,843,30,510,Temporaire,3,D35 - N2024,PLELAN LE GRAND,PLELAN-LE-GRAND,35223,C,35 D61,28,500,0,48.0261241,-2.0784812,2021,2021,2650,112,4.23,,,0,
187,417,342028.322,340052.2716,6852376.0819,6849295.9022,0.0,0.0,D76,1169,5190,1,153,4,1102,Temporaire,3,D201 - D155,ST MELOIR DES ONDES,SAINT-MELOIR-DES-ONDES,35299,B,35 D76,4,0,0,48.6493595,-1.8776665,2021,2021,9833,299,3.04,,,0,
